Question title,Question body,label
Sh rental housing tenant death,"I am living in Sh rental housing, but if my father, the tenant dies, and I cancel this contract, there will be a problem of residence right away. The contract is renewed every two years, and the contract period is still about 4 months. My father seems to have more debt than his property, so I am thinking of a limited approval or abandonment of inheritance. In this case, is there any way to continue living in rental housing?",contract
Is it safe to buy and sell the general pre-sale of apartment complexes?,"I took medicine at the end of September last year and moved in at the end of December. Right now, the ownership preservation registration is under the name of the union leader, and I am trying to do the ownership preservation registration. I have a question, but because the member of the union was unable to report the actual transaction, the member wants to report the actual transaction by changing the drug and register the transfer of ownership. Isn't the change dangerous, such as a loan? I don't think there is a need to make any changes... I look forward to your detailed answer",administration
This is a special question for newlyweds.,"?I looked it up on the Internet, but the content is slightly different, so I'm inquiring ㅠ1. Whether the special service can be used after the first priority subscription within the special service period 2. When applying for a special command, there are two ways to use the husband's No. 1 passbook after the wife's name is applied for a special command.?","Sales, subscription"
Where can I secure the parking lot of the new villa and check the parking line?,"I have a question ㅠㅠ I sold a new villa last year. It is a house with A and B in one parcel. There is a problem with parking in A and B. There are 6 households in A and 8 parking lines. Building B is said to have 8 households, but due to lack of space, it was approved as a condition to secure parking in Building A, which is the same parcel, due to lack of space. Since it could not be possible, we made a compromise and decided to give it one. The residents of Building A have already allocated parking, but the car in Building B is a carnival, so they ask you to allocate it toward the entrance. It is said that it is confirmed by the land register, but I know that it is not in the land register. Is there any way to check the related data?",law
Small and Medium Business Administration multi-family loan contract,"I was looking for a small and medium-sized business loan to live on a jeonse due to the expiration of the contract. He gave me a lot of fear and said he wouldn't do it later ㅋㅋ..Own my main transaction ㅠㅠㅠ So when I went to Woori Bank and asked how much I would get the loan, I was thinking about 5000. Yes, (what)?.. Anyway, I liked the 100 million dollar charter, so I went to see the room. ,,Special contracts were less for the return of the down payment if the loan was not possible, and the landlord told me to proceed with the loan as soon as I couldn't borrow a room. In real estate, it is said that it is 900 million, but when I roughly calculate it, I ask that it is difficult to calculate the total amount of 100 million market generation costs% of the advance deposit. If you're uneasy, set up a jeonsegwon. Can't this house have a guarantee insurance??",contract
Unseparated multifamily home,"Good morning . The house we are entering this time is a multi-family villa that is not separated on paper. Also, I got a youth-only support loan. In this case, can't I get a guarantee insurance from hug? I heard that hug asks you to apply for guarantee insurance directly. Is that possible?",administration
Get tips for renting real estate.,"I am a college student. In the studio where I had to pay my graduation for more than a year, there was a problem with the noise between the walls, so the landlord recommended that the room be moved, and I approved it. I have already paid monthly rent and maintenance fees every 6 months. , With about 11 months remaining, I have to move in the middle, and the landlord is saying that I will pay all the compensation and brokerage expenses, and I have to find a room by this month and sign a new contract. They said that they would look for another room, set a down payment when signing a contract, and return the deposit and the monthly rent for 5 months out of the 6 months paid in advance. At this time, I am curious about what to do with the contract I have on hand, how to destroy it, and what to do about the gas bill and water tax used so far when I move, and how the tax and these things will be dealt with when I empty the room from February. .2. If I sign a contract for two years, I would like to know what I can do when I have to leave my room at the time of graduation one year after graduation. The best thing is a one-year contract, but it will not be easy, so I put it on an intellectual to get a tip.",contract
Please consult with us about real estate.,"A two-room resident who moves in on January 10, 2020 and has a monthly rent of 570,000 won with a deposit of 300, whose contract expires on January 10, 2021. Since I heard that there is a story from the real estate, they asked me to raise the deposit by 2 million won, and in March, they said that I would raise the deposit, but the real estate admission was 5 million won to 580,000 won, but he said that it would be safe. However, there is a small warehouse in two rooms, but the pipe was frozen due to a cold wave on January 7th, and water is still in the warehouse until January 16th due to a leak. The landlord is in a position to make the repairs and make a claim to the officetel side. The landlord just told me to wait for the defective house, but only today, the compensation team is coming within a few days, so he told me to wait again. They say that they will get it, so they can't pay the deposit that the law says what they have to tell you within a month. When I asked the real estate, it was legal to protect both the landlord and the tenant. I will pay the deposit on the 10th, but at that time I will subtract the rent and maintenance fee this month, but it is a moving cost that I do not have to go out because of the defect. Is there any way to do it?",administration
Difference between government-designated new city and general new city,"What is the difference between the 1st, 2nd, and 3rd new cities set by the government and just general new cities?","Sales, subscription"
Is the'Performance Guarantee' (real estate) legal effect on the real estate lease contract?,"This is a question about a charter contract for Incheon City (overcrowded control area). I am planning to rent a building called'A'. I am not sure about the sale price of Building A, and I heard from the real estate that it is about KRW 100 million for a jeonse and KRW 130 million for a root mortgage. When it comes to the register, the maximum amount is 146,100,000 won, and it is marked as'Incheon Hanmaeum Credit Union'. Then, it seems that the upper limit of 30% is marked because it is a 2nd financing, but about 110 million won would be a basic mortgage. According to the city's overcrowded control area, if the deposit is less than 100 million won, it is indicated that you can receive the highest priority reimbursement of up to 34 million won. And on the premise that the counter conditions are well established)1. Is the jeon tax (100 million won) that I receive from a loan and pay a'small deposit'? If I go to the auction in the first place, if I receive 34 million won out of 100 million won as the top priority repayment, I will lose 66 million won, but the remaining 66 million won will be paid by the real estate side! Do it. Is it legally valid? I'll wait. Thank you.",law
Whether it violates the Copyright Act and the Unfair Competition Prevention Act,"I signed an architectural design contract with the client and designer A, designed the building, and obtained a building permit. When the client does not pay the service fee to the designer A, does not receive consent, and obtains permission to change the design book designed by designer A through a design contract with the designer B It can be called a secondary work by law1. Did the client violate the copyright law because the client obtained a change in the building permission by using (using) the design book designed by designer A? 2. In addition, did Designer B, who obtained permission to change the design by using (using) the design book designed by Designer A, violated the copyright law? 3. And since the client did not pay the service fee to the designer A, but made it available to the designer B, is it a violation of the law on the prevention of unfair competition and protection of trade secrets?",law
"Honeymoon Specialist, the first specialty question","Honeymoon 2nd year. I am a pregnant woman. My husband is the head of the household alone in the newlyweds (chartered). I have an address in my family. When the baby is born, I will actually report the address here because I will stay with the baby for a while. Is it correct for my husband to put in the newlyweds and only see the income of the husband and I? And in the case of the first specialty in life, because of the income period of 5 years, my husband is not eligible and is only me. Since it's a house in my father's name, can I, as a member of my household, not be able to put in a special job for the first time in my life? Will I see all the income of my family members, not the couple's income?","Sales, subscription"
Jugong permanent rental apartment holdings inquiry,"Good morning? This is a document inquiries related to the permanent rental apartment contract. This is Jugong LH Apartment. In the confirmation of asset holdings, under the category of unlisted stocks in other assets, I hold a small amount of Samjung Electronics' stock in 5 shares, and I am willing to continue to buy it. Should I select yes and fill in the amount? And if the amount should be small, should I write down the evaluation amount? And in the rental deposit on debt, should I check No because I do not rent other than the current apartment...? I don't know how to write it because it's my first time seeing it..",Trading
Sunflower reconstruction,"I entered a reconstruction apartment as a tenant and the contract wasn't finished when I heard that the reconstruction was going on, but I asked for the consent of the landlord and moved out without receiving the deposit. Can't I get it??? And I want to know what's going on with the reconstruction of the sunflower apartment in Happo-gu, Masan, Changwon-si, Gyeongsangnam-do.",administration
Problems of purchasing housing after marriage after donating housing between immediate family members,Is there any disadvantage if I donate one house to my immediate family and then report the marriage as homeless and buy a new house?,Trading
Studio Illegal Splitting Question,"If you get a certified copy after you report moving in, you say that the illegal splitting studio comes out in a way like'oo-dong 12-34' with the lake omitted at the end, is it correct?",administration
Is it possible to subcontract from an end-of-life licensed company (primary) to an existing company (secondary)?,"? Nice to meet you, everyone wishes you a happy new year. No difference, we are going to proceed with the construction this time, but we are trying to sign a subcontract contract in the order of Client> Discontinued Companies (Machine Equipment)> Comprehensive Construction... Why? If a discontinued company intends to sign a contract with a licensed company, in the event of a serious disaster, the primary company will not be liable. Even if the contract is signed in the above order, there is no legal problem, and in the event of a major disaster, make sure that it is correct to take responsibility in the last case Please.?",contract
Inquiries when assessing assets for redevelopment rental apartments.,"? Hello.sh..sh Governor.. The Ministry of Land, Infrastructure and Transport.. Everyone called and inquired, but they asked each other to ask... There's no place to ask -_-First, I'm in front of the groom, in the redevelopment rental apartment 3 I have been living with my parents before marriage, and my parents have some debt, so I have lived in a private house in front of me, and I am still living with medicine all over the world in the future, and my address is here. Now, the kids are entering school, and the address is kept separate, so there is a lot of inconvenience, so the parents are trying to move the address. So, I am moving my address to a rental apartment and trying to set up a charter area for the house my parents live in, under my name. The landlord also agreed. But, when I saw the announcement on the elevator of the apartment, it seemed that the assets should not exceed 200 million. The thing I was curious about is... The amount of jeonsegwon setting) is also taken as an asset.. There is no one who asks for that question.. Does anyone know??",Trading
The new landlord does not meet you by writing the contract.,"I am living in a jeonse with a young small and medium-sized business from a bank. I changed my landlord on the way, but I did not write a new contract. I told the above facts to the landlord, but it won't come out of the country. It seems like it is intentional. I'm also considering appointing a lawyer. I'm 29 years old, and my landlord is 29. I think they want to ignore me.",contract
I have a question about Article 61 of the Housing Act.,"Article 61 (Restrictions on Mortgage Rights Setting, etc.) ① The project entity shall apply for approval of the tenant recruitment notice for the housing and land constructed by the housing construction project No act falling under any of the following subparagraphs shall be carried out without the consent of the prospective tenant for a period of up to 60 days after the date of application for the registration of the transfer of ownership of a house or land. However, this is not the case in cases prescribed by Presidential Decree to promote the construction of such houses. The act of establishing a mortgage right or a provisional registration security right on the relevant house or land 2. The act of establishing a jeonsegwon, a terrestrial right, or a registered real estate leasehold on the relevant house and land; 3. The act of disposing of the relevant house or land by means of sale or gift, etc. I am curious about the contents in bold in the above contents. After receiving a loan from a financial institution in the local housing business, approval of the business plan (application for approval of the business plan has already been completed) is scheduled. At the same time, financial institutions are planning to set up a mortgage right for the site. According to each subparagraph of the relevant law, the act of setting a mortgage right, such as a mortgage right, is prohibited on the site... There is confusion. The conclusion is that even after the application for approval of the regional housing association's business plan, if there is no prospective tenant, is there no room for the above provisions? Accordingly, is it safe to set a mortgage right on the site to the main jurisdiction? We seek the opinions of experts.",law
Lease Protection Act,"I live in a shopping mall now, and I am suffering from the noise of a shopping mall machine breakdown. A few men and a few smokers in front of the cigarette smokers and I never knew who the boss was and there was no traffic. There was a delivery restaurant opposite the restaurant. It is said that the motor breakdown because of oil. There is no place to be decided right away, but can't I be protected by the revised lease law when I have decided on a new tenant?",administration
How to transfer the name to the parents of the apartment of the son's daughter-in-law,"A 47-pyeong apartment with a local adjustment area, the highest reported price for transactions immediately before the adjustment area is about 710 million. In order to save tax, I put out about 800 million won to Naver, but I need to return the money for the life stabilization of the bank jeonse eviction fund, jointly named by my son and daughter-in-law. Currently, we plan to transfer ownership to 750 million under the joint name of the vacant parents. I received a loan of 100 million in the name of my father, deposited a bankbook to my son, and wrote a contract. The mother writes a loan card to her aunt, borrows 300 million, and pays mid-payment. Payment of transfer tax within and outside the son. As parents, if we pay 12% acquisition tax, will it be recognized as a normal transaction? Let's look at it as a gift.",Trading
The Small and Medium Business Administration lost 100% of contact with the landlord,"I have been living in a new villa for a year at 120 million. I moved into the new villa for the first time, and there is a problem. I contacted the person in charge of the construction or the construction manager and took care of it. Other households say they will not receive phone calls from August, and the landlord of all these buildings is the landlord I know that the guarantee insurance is automatically subscribed in the situation where the Small and Medium Business Administration has a contract with a 100 million loan and an individual 20 million won, but the contract expires in February. 2. Is the guarantee insurance only 100 million for loans from the Small and Medium Business Administration? 3. I'm under a lot of stress in this house, so I want to go out in advance. Can I get it without a problem if I pay for the compound expenses?",administration
I made a mistake when applying for the honeymoon.,"The area is a non-overheated district and the type I put was not met. I put it in the second priority because I had a house in the past. Of course, even if I did what I did, I thought that the income was not more than 100%.","Sales, subscription"
Loss of semi-registration,"You sent me a semi-registration yesterday, so I was waiting for my semi-registration number all day today. I'll try to call you tomorrow, but I'm anxious. I hope it's not lost because it's an important item.",administration
Signature of actual transaction sent to Korea Appraisal Board,"Hello, I left my business and was interested in real estate, so I got a job at a place where I was learning auction. I bought a house because I offered to lend it to the corporate representative who paid the down payment. I don't know if I have to sign it in this way...I didn't buy a house for 100 million won, and it's too difficult to buy 30 million won.",contract
Member of redevelopment apartment / child donation,"I have a question, so I ask you a question. Currently, as a member of the Incheon Redevelopment Apartment, there are two tenants [18 pyeong, 24 pyeong]. ] After appraising about [250 million], you can move in about 18 pyeong and 24 pyeong. The current market price seems to be in the second half of 300 million on the basis of 24 pyeong. The contractor was decided and the apartment is scheduled to move in in the early 23 years after demolition at the beginning of this year. Union members are only in the name of their parents. Question Q. Currently, is it possible to give only one of the two to a child? Q. If possible, how much will the gift tax be paid? Q. Parents are currently in a difficult situation in their economic activities. Is it the part where the intermediate payment and balance are paid out as a mortgage loan except for the down payment? Q. After the apartment is completed, is it 3 years since the child moved in as a charter? Do I have to give a gift after that? Sorry for the question.",Trading
Lh Youth Rental,"If you say that 10 youth purchase rentals are selected, can you not get the 2nd 3rd ranking if the 1st priority is 10 applicants? Or is there a number of people to be selected for each ranking?","Sales, subscription"
Regarding extension of remodeling construction period without consent,"The next door below is undergoing remodeling. Since I was remodeling without even seeing the remodeling agreement, I just passed over because there was a bag of tangerines in front of the house along with a note saying I wish you patience. Unlike the remodeling period until last Friday, it is under construction on weekends and is still under construction. Today, I noticed that the construction-related noise was posted next to the elevator, and I realized for the first time that the construction was extended. I have never seen a consent form for remodeling work, and I have not received any direct instructions for extension of the work. I am curious what measures can be taken by other people who have suffered damage such as noise due to the extension of the construction without consent.",법률
This is a question about repair and deliberation of defects in new apartment,"When the day gets colder, water runs down the wall. If you enlarge and look closely, you will see the material bureau on the wall. What is the cause of this defect, how to be paid, and what result if the construction company delays the repair of the defect and applies for the defect review committee. Can I get it? And please tell me what steps do I need to go through in order to actually receive the repair?",law
Problems of unannounced group defect compensation lawsuit when signing an apartment sale contract,"I signed an apartment contract, but after the contract, it turned out that a defect lawsuit was in progress against an apartment builder. It is a 5-year-old apartment, and there are many defects that occur in most households. The problem is that neither the seller nor the real estate announced this part in advance. The real estate is not a serious defect such as a leak, so it is said that it is said that it is necessary to comply with the provisions of the contract to buy it as it is. I would like to do a better solution than cancel the contract, so please advise me on how to do it. For reference, I signed a contract after checking an empty house as a plan to enter the interior before moving in, but because of the defect, the interior estimate was higher than expected. The due diligence schedule for litigation related households overlaps with the scheduled construction schedule, so if the interior work is done according to the plan, the defect cannot be checked during the due diligence, but even if it wins later, the generational compensation is not received. Most households are experiencing the same phenomenon, so the possibility of winning is very high. Do it.",loan
"I signed a monthly rent contract, but the landlord violated the special agreement, leaving a week left.","When signing a house contract, I signed a contract after receiving a confirmation from the landlord with special contracts for the paperboard, floor, and luggage. A week before the move, the landlord met and told me that there was something to talk about, and the floor was not repaired and the luggage was not organized. When they asked why they didn't repair the floor, he said that he put this house up for sale, but he said he didn't want to spend money and said he couldn't repair it. He asked why he didn't organize his luggage, and he said he could throw it in the trash. He said it was a breach of contract, but he gave up because he was a typical old man who couldn't speak, and told the real estate agent the situation. Isn't this a violation of the contract? I asked where I was doing this after moving a week left, and I said that sometimes this happened with the landlord, saying that it would be over. .The floor is wooden floor, but the floor is rotten enough to be pitted. In this case, I am curious to see if I can claim for damages twice as much as the moving cost, the cost until the move, and the down payment when the contract is broken. In the contract, he wrote that he had not fulfilled the special agreements and asked him to revise the contract. A week before entering the house, the landlord violated the special agreement 2. I was told to just live because I didn't want to spend money 3. Real estate brokers say this happens occasionally, and I want to know if I can claim damages from the landlord in this case.",contract
Questions on the practice of collecting donations,"Good morning? I have a question about the “donation and payment practice”, so I was looking for knowledge IN. 1. I would like to ask about the beginning of the donation payment in practice. I would like to ask about the history related to this. 2. In practice, I know that the concepts of accepting donations and free attribution are quite mixed and used. I would like to ask how the concept of accepting donations is defined in practice. Also, I would like to ask you how to distinguish it from impermanence, which is used in practice. 3. In practice, I would like to ask about the object of the donation. In general, it is known that the target of donations is the land where the infrastructure is installed, which is in kind, but when I looked for related articles, it was confirmed that the donations can be collected in cash. In practice, I would like to ask what exactly is the object of the donation. In addition, I would like to inquire about the legal basis, such as laws, enforcement decrees, rules, guidelines, etc. governing the objects to be collected. 4. I would like to ask about the detailed procedure for collecting donations in practice. It is understood that the collection of donations is usually concluded in the form of an agreement or contract through consultation with the administrative office. I would like to know exactly the procedure from the consultation process, which is a preliminary procedure, to the time when the donation is completed. I would also like to ask about the legal basis governing the donation collection procedure. 5. I would like to ask about the problems of the donation payment system in practice. I would like to know in detail what is the main problem in practice related to the collection of donations at the front line, and if there is a problem, what is the problem. 6. I would like to ask if there are any materials (main practice offices; litigation data, etc.) that can be referenced in order to acquire a broad knowledge of donations and payments, and where to get them. We would be very grateful if experts with extensive theoretical and legal knowledge and experience would give us a fairly specific answer. It is insignificant, but I will attach 150 (+50 for first question; 100 for additional). Please give a detailed answer.",law
DSR system inquiry,"Hello? I am homeless with an annual salary of 8,000 or more and received a credit loan of 150 million won from Bank A in September 2020. Today, I received an additional credit loan of 30 million won from Bank B. This month, I lived an apartment of 900 million won or more in the overheated district of speculation. I want to buy with 1. Will DSR be applied when buying an apartment as it is (180 million loans)? Can't it? In this case, when the credit loan is redeemed, how much should the credit be redeemed? 2. Will the DSR be applied when purchasing the apartment after repaying the 30 million won received today before the apartment purchase contract? Can't it? In this case, when the credit loan is redeemed, how much should the credit be redeemed? 3. Will DSR be applied if the apartment contract is contracted and the total loan balance is reduced to less than 100 million won (repayment of 100 million of 0.3 billion and 150 million previously received)? Can't it? In this case, when the credit loan is redeemed, how much should the credit be redeemed? 4. If I lower the credit loan balance to 100 million before the apartment contract, is DSR applied? Can't it? In this case, when the credit loan is redeemed, how much should the credit be redeemed? 5. Is the contract date based on the purchase of an apartment for the above questions? Is it based on the registration date?",contract
"Number of authorized mechanical parking lots in Gangbuk-gu, Seoul","According to the Seoul Metropolitan Parking Lot Installation and Management Ordinance, the number of parking lots for mechanical parking lots pursuant to Article 20 (2) of the Article 7 (Recognition of the number of mechanical parking lots) ordinances is the number of vehicles that have received safety certification under Article 19-6 (1) of the 「Parking Lot Act」. However, in the case of a simple two-stage parking facility (referring to a case in which other cars must be moved by the driving of a person in order to exit, and including parking facilities of three or more stages of the same method), one for each parking facility. [Professional revised 2009. 6. 11.] 1. It is only written like this, but I wonder if it means that 100% mechanical parking is possible with the number of units that have been certified for safety. (If you look at other cities, the ratio is fixed, but the city of Seoul is stable. It's confusing.)",law
Apartment construction option cancellation law,"Hello~2020 Juan Hill XXXPoo, Incheon Michuhol-gu, I bought a move-in ticket in December, and I am currently the current holder of the move-in right. I came out and consulted on the cancellation of wide dining and the addition of additional options. The construction company is very sick of the cautious response that options can be added but not canceled... Only the answer of asking R, but not canceling.......I want to cancel as soon as possible during the 4th week of January during the additional period. Is there any way...",law
This is a question regarding the qualification for special supply (special service) for elderly parents,". In 2009, a father gave a house (multi-family) to his mother (fatherless house). The two divorced in 2011 (mother continues to live in the existing house). In 2012, I took my father and moved into our generation. I had already separated from the generation in 2009 and am homeless. There is no history of winning the subscription.","Sales, subscription"
I need help from experts.. Noise problem with a big fan or something like a house window (open 24 hours),"? Hello. It's been about 2 months since I moved into a private officetel. The window is large and there is a space like the entrance rooftop with the entrance to the officetel parking lot right in front of it. There were several such machines before. However, the existing ones weren't that big, and they stopped and stopped a little, so I was living just taking it into account. This is a situation where the pen of the fan is spinning for 24 hours, and the noise is coming into the house for 24 hours. This noise continues for 24 hours and the noise is so loud that I can't sleep. How can I fix this? Is there?? First of all, I told the manager, but it makes a ridiculous sound that it was installed because of the weight..?",administration
Container rental,"Is there a place where you can rent a container with the following specifications?-Size: 3x9 or 4x9-Condition: Office + (toilet, shower) available-Long term: more than 6 months rental-Number: It is difficult to find 2 containers..",Trading
Housing compensation for new apartment construction..,"In 2019, each house agreed and agreed to build an apartment in the current neighborhood. At that time, the amount written in the contract (it is not a sale contract, but a compensation agreement contract) written after agreeing to our house was about 44 pyeong. Until the beginning of last year, it was the amount to buy a 30 pyeong apartment building. In the meantime, real estate sales went up, so I couldn’t even buy a 20-pyeong apartment. I contacted you steadily, but I will give you soon, I will give you next month. ..Then, even after several years without payment, I can't do anything and do anything about property rights for the current house, and I can't move. I'm curious. I sent proof that I would invalidate the contract with help, but the answer continues to come. It is not a situation",contract
"Please tell the officetel the legal grounds to be excluded, such as portable emergency lighting.",Is it correct that the installation of portable emergency lighting is excluded in the officetel? Is it an accommodation facility (officetel)? Please tell us,law
"I entered a semi-basement charter, but if I enter a convenience store on the first floor, will it fail?","I moved into a new building as a one-room charter, and it is said that the mini-stop will be coming soon on the first floor. Personally, I am worried about noise and insects... ㅠㅠㅠㅠ When the landlord signs a contract, I believe that it is not noisy, so please let me know if it will be okay if it is a convenience store.",administration
This is an inquiry regarding home solar power installation in rural areas.,"I am trying to install 3kw solar power as a support for Yangpyeong-gun. I wonder if it is okay to build a structure and put up a solar panel before the land in front of the house is made of farmland. I would like to know if there are any legal flaws or if there is a size limit for the steel structure. The steel structure was built to be used as an existing parking lot, but was voluntarily demolished due to violation of the Farmland Law by reporting around it. Solar installation companies say that structures for solar installation are not subject to crackdown, but please let us know if this is the case, and if so, how much the size limit of the structure is ^^",law
Can I get a seal certificate (for personal issuance) overseas?,"While staying abroad, I have to issue and submit a seal certificate because of a domestic apartment subscription contract. The problem is that it is only available for self-issuance, but is there any way?",law
Please calculate the real estate compound cost.,"At the end of November 2014, a two-year contract was signed and it was automatically extended. In December 2016 or January 2017, I asked if the landlord would live more, and if I could live more, I replied.",law
"Is there any way to revoke the ""Regional Housing Association Approval"" given by the government office?","Hello... that the local housing association got approval from the government office... (The project progress was interrupted because the progress was not smooth, and the land has become a land that cannot be built for several years... I am wondering if there is a way to revoke the authorization given by the government office in order to obtain a building permit... that is, to use the land, which is their property by the landlords...)",law
Imposition of a fine for notification of moving-in before cancellation of rental business entity,"I bought a small apartment (130 million) in October 2019 and received a lease succession from an existing homeowner. When the lease contract was over, I bought it for the purpose of living in, but since March last year, I received mail and text notifications saying that rental beneficiaries of less than 20 million won must register as a rental business, and the remaining rental period was less than one year. In March-April last year, during the voluntary reporting period, I was able to apply for a non-face-to-face application at a rental home due to Corona, so I applied for it simply by looking at the promotional mail, and recently I applied for cancellation of the rental business at the rental home again. It is said that I was charged 15 million won for a penalty for violating the lease law. It is said that it was because I reported moving in before the rental business was expunged. The ward office staff asks me if I have registered as a rental business without knowing that, but I am not convinced that I do not know the lease law as well, but the government policy makes the person who followed it just because they did not know it and asked me to pay a fine for it. In my case, there is no purpose of tax evasion, and there is no tax evasion. Is it possible to file an objection in this case?",Trading
About the mall compensation..,"On April 30, 2018, a shopping mall contract was signed (monthly rent). But yesterday, the owner of the store said that he had to sell it due to redevelopment (reconstruction). He gave me the same thing and told me to sign it. I haven't signed it yet. I'm curious about what kind of compensation can I get in this case. Can I get it?",law
Real Estate Contract Inquiry,"For the purpose of the building register, it says apartment, but the real estate wrote a contract for multi-family housing. Is there any problem...",law
We would like to ask you a question regarding the report of construction start.,"1. Do you have the same meaning as report on start of construction and construction start? 2. Do remodeling and interior work mean different things? 3. If you are doing interior work inside the store (for example, floor work, painting, plastering, etc.), do you need to report the start of construction?",law
Demolition due to refusal to renew the contract,"From November 2018, we signed a two-year contract and started business. At the end of the two-year contract, the owner expressed his intention that he would continue to operate, and the contract was extended only verbally by not writing down the contract and asking to handle it as an automatic extension. I was notified to renew the contract with the owner of the new building. Because the contract period was over, I couldn't just wait, so I found a new store and moved the store. In this case, do I have to do the demolition? I knew it was possible, but I didn't want to blush, so I moved to another store...",contract
Change the balance date (moving date) of the lease contract after receiving the confirmed date,"I am moving on March 14 this year, but the date of moving was advanced due to the request of a former tenant. It was March 12, but after the contract ended, I received a confirmation date. Is it going to work?",contract
Would you like to inform us from the basics such as the joint disposal procedure and required documents at the manufacturing business site..,"Good morning? I'm a new employee who just got a job in the general affairs team of the manufacturing industry. It's very difficult as I take on the environment. Please answer in detail 1. Is there a site where you can study or learn manufacturing waste disposal procedures (general waste, designated waste)? For example, I would like to have such materials or sites that detail the level of waste treatment, the target of reporting, and the documents required for reporting. 2. Our factory is divided into one in Gyeonggi-do and one in Chungcheong. Both the business site in Gyeonggi-do and the business sites in Chungcheong-do are entrusted to a single transport company. I wonder if there is no need 3. If we do not need to report, I am wondering what kind of documents should be legally required for the problem.",law
This is a question about the notice of the housing construction project plan.,"If you look at the contents of the document notified to the city hall after approval of the housing construction project plan Building area: 9,001.2949㎡ (building-to-land ratio 16.55%) F. Total area: 123,290.6176㎡ (floor area ratio 159.95%) Building use: apartment houses (apartments), subsidiary welfare facilities, neighborhood living facilities Scale of business: 1 basement floor/12 to 20 floors above ground, 10 buildings and 726 households. Project period: January 2021 to March 2023 I have this content, but I am curious about the project period starting from January 2021. Then, do I have to start from January, or is there a period set by law? (For example, it must be started within 60 days of the business start-up period.. etc.)",law
Questions about the compounding costs of commercial properties,"I gave it to the real estate of a commercial building with a right of 35 million won, a deposit of 10 million won, and a monthly rent of 1 million won.",law
Building ledger 1. Purchase 3 divisional malls or,"We are going to buy 3 apartment stores and demolish 2 walls, one for us to use and the other for sale and lease.",law
Permission to occupy shared water,"Ganghwado Island is building a house with a building permit on the seafront. Because of its location, the military unit also needs permission to install a patrol route on the coastal side. The county office said it wasn't relevant, and when a complaint was filed at the house in front of the building last fall, the county office suddenly asked to stop the construction, saying that it did not obtain an occupancy permit. This is already 3 months. If it is not resolved, he said he would not give it to completion. After a civil complaint in the previous house, he applied for permission to occupy the shared water, but the county office cannot give permission to individuals, so the military unit asks for a permit. I haven't been able to do this either, so how can I fix it?? Please help",administration
New shop building construction,"We plan to lease a new building of about 200 pyeong on 1,000 pyeong of land in Daebu-do, Ansan-si, Gyeonggi-do as a restaurant. (We are going to build and lease a building of about 200 pyeong in consideration of the building-to-land ratio, etc.)",loan
I would like to ask you a question about the seller's liability for damages.,"Cause of problem: Apartment to be occupied-Anbang dressing room <Condensation> Signed a sales contract on November 30, 2020 Payment of the balance date on May 11, 2021, from the completion of the apartment construction at the seller's house (May 2017) to the present After the same tenant moved into the residence, condensation was severe in the bedroom dressing room, so he received several repairs for apartment defects (2018 and 2019), but the problem was not resolved properly and condensation was still a problem, and the current tenant is unable to use the bedroom dressing room at all. situation. (The black color, which is the condensation phenomenon, is not visible with the naked eye, but the problem is serious.) *The repair period for apartment defects has already been completed. On January 25, 2021, the buyer and the real estate owner visited the house and delivered the problem of condensation in the bedroom dressing room from the current tenant. On February 8, 2021, the buyer delivered to the seller that he would solve the condensation problem in the master dressing room (AS) through the real estate agent. The owner of the real estate delivered this to the seller, but the seller only visually transmitted it to the seller. As a result, the black condensation problem is not seen, so it seems that there is no need to solve the problem. Question 1. : If the defect occurs within the period from the completion of the contract (November 30, 2020) to the balance (May 11, 2021), we understand that the seller is obligated to repair it. As the testimony of the current tenant (the condensation is very serious, so I can't use the home dressing room at all), can I ask the seller to be liable for defects? Question 2. : If there is a problem of condensation on November 11, 2021, 6 months after the balance date = move-in date (May 11, 2021), can I ask the seller to be liable for defect security?",law
I have an urgent question regarding waste licensing.,"Hello, Intellectual.. Nothing else, I will ask if a waste recycling license is possible here with this photo data I upload.",law
This is a shopping mall tenant. What happens when you sell a building?,"I am self-employed in a shopping street. It hasn't been long since the contract was renewed, but the building is likely to be sold. It doesn't matter if you can continue the business after buying and selling, but since it's a very old building, I think it's probably going to be rebuilt. In this case, is there a way for the tenant to be protected? If I go into reconstruction without being sold, will I be protected if it is during the contract period? If you are protected, I wonder how much you can be compensated. Please answer me~",Trading
Class 3 facility safety inspection and precision safety inspection,"As for the safety level of a building (Class A, B, C), I know that if it is designated as a Class 3 facility, it is subject to regular inspections every quarter. I want to know the basis (law) or data",law
Inquiry about the estimated cost of design and remodeling of commercial housing use change,"We are planning to change the use of commercial housing (from housing to neighborhood living facilities or offices) and remodeling. The area of ​​the house located on the 4th floor of a total of 4 floors is about 40-50 pyeong, and the boiler room on the 4th floor located in the corridor of the stairs of the shopping mall is (Approximately 1.5 pyeong) I would like to change to a toilet. The area is Eunpyeong-gu, Seoul, and we would like to inquire about the drawing, remodeling, and estimated cost of toilet construction for the purpose of changing the use of the office.",loan
